,year,size_sex,cpue,d95
1,1988,immature_female,14136.00255,13233
7,1989,immature_female,9992.884841,12431
13,1990,immature_female,18830.5578,9223
19,1991,immature_female,24134.07706,15238
25,1992,immature_female,26381.04862,14436
31,1993,immature_female,32635.78616,11629
37,1994,immature_female,41016.13026,10827
43,1995,immature_female,17443.64879,11629
49,1996,immature_female,4944.526708,8020
55,1997,immature_female,2831.104115,3208
61,1998,immature_female,4847.028235,5213
67,1999,immature_female,1924.727224,9624
73,2000,immature_female,4910.795163,10827
79,2001,immature_female,8502.381022,10426
85,2002,immature_female,2017.233161,6416
91,2003,immature_female,8642.868516,7619
97,2004,immature_female,29036.23476,8822
103,2005,immature_female,23925.51828,10827
109,2006,immature_female,9627.351468,8020
115,2007,immature_female,9551.375413,10827
121,2008,immature_female,2073.175239,11228
127,2009,immature_female,16434.54515,11228
133,2010,immature_female,53689.52573,15639
139,2011,immature_female,20770.16365,18045
145,2012,immature_female,18742.91066,13233
151,2013,immature_female,15988.90267,14436
157,2014,immature_female,12765.25988,13233
163,2015,immature_female,24986.68275,9223
169,2016,immature_female,39264.17921,7218
175,2017,immature_female,42692.23295,11629
181,2018,immature_female,36971.40216,9223
187,2019,immature_female,1630.39245,3208
2,1988,male31to60,35936.89056,15639
8,1989,male31to60,22824.03506,18847
14,1990,male31to60,18613.51319,15639
20,1991,male31to60,23512.72492,16040
26,1992,male31to60,24995.80553,15238
32,1993,male31to60,48512.55461,12832
38,1994,male31to60,38880.28215,14436
44,1995,male31to60,28024.80031,20451
50,1996,male31to60,12044.18661,18847
56,1997,male31to60,4602.253791,15238
62,1998,male31to60,5925.595074,8020
68,1999,male31to60,2587.311743,14035
74,2000,male31to60,8961.476045,13233
80,2001,male31to60,12496.34451,12832
86,2002,male31to60,3458.034274,8020
92,2003,male31to60,14268.11212,8020
98,2004,male31to60,20946.41113,11629
104,2005,male31to60,18237.34498,13634
110,2006,male31to60,6912.108395,14035
116,2007,male31to60,8948.40408,14436
122,2008,male31to60,2879.898866,16842
128,2009,male31to60,10491.85418,14837
134,2010,male31to60,36358.5067,15238
140,2011,male31to60,20773.58158,21654
146,2012,male31to60,12781.75566,17644
152,2013,male31to60,10812.6863,19649
158,2014,male31to60,8479.025963,20050
164,2015,male31to60,19448.62507,10025
170,2016,male31to60,38491.28253,7619
176,2017,male31to60,53068.2078,13233
182,2018,male31to60,63753.48226,12431
188,2019,male31to60,6991.742835,11629
3,1988,male61to90,16082.241,29273
9,1989,male61to90,26697.0914,30075
15,1990,male61to90,18946.18573,32882
21,1991,male61to90,12218.69993,34887
27,1992,male61to90,9096.532028,32080
33,1993,male61to90,11663.64319,28872
39,1994,male61to90,13077.02144,29674
45,1995,male61to90,22578.40886,34887
51,1996,male61to90,24230.32136,34887
